identifier,description,Justification,Justification_clustered,Salutation,Closing,Self-reference,image,language,format,Script,Material,Business Type,Title,date,latitude,longitude,lat/long,spatial coverage,dcterms:creator,comment
20200621_084340.jpg,הכניסה מותרת בחבישת מסכה בלבד!!,,,,,,,Hebrew,hand written|printed,cursive,paper|pen,,"2020-06-21 - תל אביב - יפו, הצפון החדש - סביבת ככר המדינה",2020-06-21,32.0893843,34.7826084,32.08938429972223/34.7826084,"148, אבן גבירול, תל אביב - יפו, הצפון החדש - סביבת ככר המדינה, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084409.jpg,הוראות כניסה לחנות: 1. חובה לחבוש מסכה! במידה ואין לך אתה חייב לרכוש כאן או שלא תוכל להיכנס. 2. יש לשמור מרחק של 2 מטר. 3. לא ניתן להיכנס יותר מ-2 אנשים בחנות. אנא שמרו מרחק! 4. יש לחטא ידיים בכניסה לחנות יש גל לחיטוי! תודה מראש על ההבנה צוות החנות,,,,תודה מראש על ההבנה צוות החנות,חנות,,Hebrew,printed,square,paper|printer,,"2020-06-21 - תל אביב - יפו, הצפון החדש - סביבת ככר המדינה",2020-06-21,32.0893843,34.7826084,32.08938429972223/34.7826084,"148, אבן גבירול, תל אביב - יפו, הצפון החדש - סביבת ככר המדינה, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084429.jpg,לקוחות יקרות! אין להכנס לבוטיק ללא מסיכה ניתן להכנס עד 2 אנשים בבוטיק בברכה Kiki,,,לקוחות יקרות,בברכה <חתימה>,בוטיק|Kiki,,Hebrew,hand written,cursive,paper|pen,בגדים,"2020-06-21 - תל אביב - יפו, הצפון החדש - סביבת ככר המדינה",2020-06-21,32.0893843,34.7826084,32.08938429972223/34.7826084,"148, אבן גבירול, תל אביב - יפו, הצפון החדש - סביבת ככר המדינה, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084443.jpg,אין כניסה ללא מסכה!,,,,,,,Hebrew,hand written,cursive,paper|marker pen,,"2020-06-21 - תל אביב - יפו, הצפון החדש - סביבת ככר המדינה",2020-06-21,32.0888113,34.7824899,32.0888113/34.7824899,"142, אבן גבירול, תל אביב - יפו, הצפון החדש - סביבת ככר המדינה, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084504.jpg,בהתאם להנחיות מישרד הבריאות: * נא להיכנס אחד אחד - קונה אחד בכל פעם. * לשמור מרחק של 2 מטרים אחד מהשני. * חובה על עטיית מסיכה.,הנחיות מישרד הבריאות,הנחיות משרד הבריאות,,,,,Hebrew,printed,cursive,paper|marker pen,סדקית,"2020-06-21 - תל אביב - יפו, הצפון החדש - סביבת ככר המדינה",2020-06-21,32.0888113,34.7824899,32.0888113/34.7824899,"142, אבן גבירול, תל אביב - יפו, הצפון החדש - סביבת ככר המדינה, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084527.jpg,לקהל לקחותינו- - על פי הנחיות משרד הבריאות - - יש להיכנס עם מסיכה! - ניתן לקבל את הקניה גם מחוץ לחנות! -ניתן להזמין טלפונית - איסוף עצמי/משלוח. - הגבלה ל-4 לקוחות. תודה על ההבנה! 054-5792778,הנחיות משרד הבריאות,הנחיות משרד הבריאות,לקהל לקחותינו,,,,Hebrew,printed|hand written,cursive,paper|marker pen,,"2020-06-21 - תל אביב - יפו, הצפון הישן - החלק הצפוני",2020-06-21,32.088546,34.7823702,32.088546/34.7823702,"129, אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084548.jpg,הכניסה ללא מסיכה אסורה! שמרו על מרחק של שני מטר,,,,,,,Hebrew,printed,square,paper|printer,מסכות,"2020-06-21 - תל אביב - יפו, הצפון הישן - החלק הצפוני",2020-06-21,32.088546,34.7823702,32.088546/34.7823702,"129, אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084615.jpg,"מאפיית לחמים לקוחות יקרים אנא, הקפידו לשמור על מרחק של 2 מטרים אחד מהשני. תודה על ההבנה, צוות מאפיית לחמים  הכניסה עם מסכות בלבד. 2 מ'",,,לקוחות יקרים,תודה על ההבנה|<חתימה>,,טבחים עם מסכות,Hebrew,printed,square,print,מאפיה,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.088327,34.7822727,32.08832699972223/34.78227269972222,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084653.jpg,הכניסה לחנות במסכה!! ובדיקת חום!!,,,,,חנות,,Hebrew,hand written,cursive,paper|marker pen,,"2020-06-21 - תל אביב - יפו, הצפון הישן - החלק הצפוני",2020-06-21,32.0875669,34.7822045,32.087566899722226/34.78220449972222,"119, אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084706.jpg,הכניסה עם מסכה בלבד!,,,,,,,Hebrew,hand written,cursive,paper|marker pen,,"2020-06-21 - תל אביב - יפו, הצפון הישן - החלק הצפוני",2020-06-21,32.0875669,34.7822045,32.087566899722226/34.78220449972222,"119, אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084714.jpg,הכניסה/השירות יינתן בעת חבישת מסיכה בלבד!,,,,,,,Hebrew,printed,cursive,paper|marker pen,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084723.jpg,שלום ללקוחות קסרולה בבקשה להיכנס לחנות עם מסכה לפי הוראות משרד הבריאות,הוראות משרד הבריאות,הוראות משרד הבריאות,שלום ללקוחות,,קסרולה|חנות,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084746.jpg,אין כניסה ללא מסכה!,,,,,,,Hebrew,hand written,cursive,paper|marker pen,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084817.jpg,אסורה הכניסה ללא מסיכה,,,,,,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084825.jpg,אסורה כניסה ללא מסיכה! עד 2 לקוחות בו זמנית בתודה!,,,,,,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084840.jpg,"על פי הוראות משרד הבריאות - כניסה לחנות תתאפשר רק עם מסכת אף ופה בלבד, שמירה על היגיינת הידיים ומדידת חום - לא תתאפשר כניסה ללא מסכה - יש להיכנס ביחידים על פי סדר נא להישמע ולכבד את ההוראות תודה ובריאות טובה לכולם",הוראות משרד הבריאות,הוראות משרד הבריאות,,תודה ובריאות טובה לכולם,חנות,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084853.jpg,הנחיות התנהגות לציבור המבקרים בחנות 1. הכניסה לחנות מותנית בחבישת מסכה ומדידת חום. 2. הכניסה מותרת ל-2 לקוחות בלבד לכל קופה רושמת 3. חובה לשמור על מרחק של 2 מטרים בין לקוחות ובתור לקופה. 4. גם מחוץ לחנות יש לשמור על מרחק של 2  מטרים ולחבוש מסכה. 5. יש לשמור על כללי היגיינה לבטיחותם של כלל הלקוחות. נעבור את זה יחד!,,,ציבור המבקרים,נעבור את זה יחד!,חנות,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084922.jpg,כניסה רק עם מסכות ולא יותר משתי לקוחות תודה,,,,,,,Hebrew,hand written,cursive,paper|marker pen,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084931.jpg,לקוחות נכבדים בהתאם להנחיות משרד הבריאות נבקש שמירת הכללים: 1. הכניסה למכבסה מותנית בחבישת מסכה. 2. השימוש במכונות מותנה בשימוש בכפפות. 3. הכניסה מותרת ל-2 לקוחות בלבד. 4. נא הימנעו מהתקהלות. 5. נודה לכם על המתנה לסיום פעולת המכונה מחוץ למכבסה. 6. חובה לשמור על מרחק של 2 מטרים מאדם לאדם. 7. יש לשמור על כללי היגיינה לבטיחות של כלל הלקוחות.,הנחיות משרד הבריאות,הנחיות משרד הבריאות,לקוחות נכבדים,,מכבסה,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_084939.jpg,הכניסה לחנות לאחר מדידת חום ועם מסיכה בלבד,,,,,חנות,,Hebrew,printed,square,paper|printer,,"2020-06-21 - הצפון הישן - החלק הצפוני, תל אביב-יפו",2020-06-21,32.0878388,34.7821855,32.0878388/34.782185499722225,"שביל אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_085051.jpg,אסורה הכניסה ללא מסיכה!!,,,,,,איש עם מסכה,Hebrew,printed,square,paper|printer,,"2020-06-21 - תל אביב - יפו, הצפון הישן - החלק הצפוני",2020-06-21,32.0865353,34.782003,32.0865353/34.782002999999996,"107, אבן גבירול, תל אביב - יפו, הצפון הישן - החלק הצפוני, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_174533.jpg,הכניסה אסורה ללא מסכה,,,,,,,Hebrew,printed,square,paper|printer,,"2020-06-21 - תל אביב - יפו, שפירא",2020-06-21,32.0538957,34.7775879,32.05389569972222/34.7775879,"90, מסילת ישרים, תל אביב - יפו, שפירא, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
20200621_174546.jpg,בהתאם להוראות משרד הבריאות אין להיכנס לחנות ללא מסכה,הוראות משרד הבריאות,הוראות משרד הבריאות,,,חנות,,Hebrew,printed,square,paper|printer,,"2020-06-21 - תל אביב - יפו, שפירא",2020-06-21,32.0538957,34.7775879,32.05389569972222/34.7775879,"90, מסילת ישרים, תל אביב - יפו, שפירא, תל אביב-יפו, מחוז תל אביב, ישראל",Yael Netzer,
